Date mutation;Nature mutation;Valeur fonciere;No voie;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;Surface terrain
15/01/2020;Vente;27600000;36;RUE;4035;MAL VAUBAN;6300;NICE;6;88;;IR;731;;27;;;;;;;;;;1;3;D̩pendance;0;0;
15/01/2020;Vente;27600000;36;RUE;4035;MAL VAUBAN;6300;NICE;6;88;;IR;731;;13;;46;8293;;;;;;;2;2;Appartement;92;4;
09/01/2020;Vente;61500000;37;RUE;6620;VERDI;6000;NICE;6;88;;KY;202;;13;;34;10043;;;;;;;2;2;Appartement;105;4;
09/01/2020;Vente;1500000;15;BD;220;DU 8 MAI 1945;6730;SAINT-ANDRE DE LA ROCHE;6;114;;AH;315;;65;;;;;;;;;;1;3;D̩pendance;0;0;
14/01/2020;Vente;20500000;5;BD;2828;GENERAL LOUIS DELFINO;6300;NICE;6;88;;IW;251;;2;;30;6860;;;;;;;2;2;Appartement;66;3;
09/01/2020;Vente;19000000;25;RUE;4332;MONSEIGNEUR ALFRED DAUMAS;6300;NICE;6;88;;IR;738;;2;;21;6745;;;;;;;2;2;Appartement;68;4;
03/01/2020;Vente;13400000;44;AV;4056;DE LA MARNE;6100;NICE;6;88;;HI;159;;536;;571;2966;;;;;;;2;2;Appartement;29;1;
10/01/2020;Vente;15000000;40;BD;6655;VICTOR HUGO;6000;NICE;6;88;;KY;273;;28;2596;;;;;;;;;1;2;Appartement;20;1;
10/01/2020;Vente;3200000;50;AV;1075;CAP DE CROIX;6100;NICE;6;88;;HL;87;;61;;;;;;;;;;1;3;D̩pendance;0;0;
13/01/2020;Vente;20000000;48;AV;910;BORRIGLIONE;6100;NICE;6;88;;LO;747;;5;;;;;;;;;;1;2;Appartement;60;2;
13/01/2020;Vente;20000000;48;AV;910;BORRIGLIONE;6100;NICE;6;88;;LO;747;;20;6229;;;;;;;;;1;2;Appartement;60;3;
08/01/2020;Vente;36200000;18;RUE;245;D ANGLETERRE;6000;NICE;6;88;;LA;388;;110;10396;114;;;;;;;;2;2;Appartement;97;4;
20/01/2020;Vente;17500000;57;BD;465;AUGUSTE RAYNAUD;6100;NICE;6;88;;LV;33;;3;5925;9;;;;;;;;2;2;Appartement;56;3;
15/01/2020;Vente;5600000;27;AV;3625;JOSEPH RAYBAUD;6000;NICE;6;88;;HD;5;;23;1926;;;;;;;;;1;2;Appartement;19;1;
15/01/2020;Vente;11207000;34;RUE;1000;DE LA BUFFA;6000;NICE;6;88;;KV;82;;20;1802;;;;;;;;;1;2;Appartement;18;1;
16/01/2020;Vente;9000000;6;RUE;2625;FRANCOIS CARLO;6000;NICE;6;88;;HD;10;;25;2940;;;;;;;;;1;2;Appartement;28;1;
08/01/2020;Vente;23030000;3;RUE;4705;PARADIS;6000;NICE;6;88;;KT;116;;14;6075;;;;;;;;;1;2;Appartement;55;3;
07/01/2020;Vente;57500000;3;RUE;65;ALBERTI;6000;NICE;6;88;;LC;236;;13;8517;20;;;;;;;;2;2;Appartement;84;3;
09/01/2020;Vente;25666666;14;PL;2785;GARIBALDI;6300;NICE;6;88;;KO;32;;16;;4;;;;;;;;2;2;Appartement;72;3;
10/01/2020;Vente;24500000;68;AV;3372;JEAN MEDECIN;6000;NICE;6;88;;LB;375;;23;8257;;;;;;;;;1;2;Appartement;82;3;
13/01/2020;Vente;19000000;25;AV;3355;JEAN DE LA FONTAINE;6100;NICE;6;88;;EZ;61;;109;5151;65;;;;;;;;2;2;Appartement;55;1;
06/01/2020;Vente;21220000;17;RUE;2985;GOUNOD;6000;NICE;6;88;;KY;138;;27;3283;5;;;;;;;;2;2;Appartement;33;2;
14/01/2020;Vente;11800000;3;RUE;4805;PARMENTIER;6100;NICE;6;88;;LO;345;;35;2505;84;;;;;;;;2;2;Appartement;26;1;
09/01/2020;Vente;10000000;17;RUE;405;ASSALIT;6000;NICE;6;88;;LB;52;;28;4340;;;;;;;;;1;2;Appartement;45;2;
07/01/2020;Vente;33250000;110;RUE;5570;DE ROQUEBILLIERE;6300;NICE;6;88;;IX;377;;177;7834;;;;;;;;;1;2;Appartement;80;4;
17/01/2020;Vente;31000000;16;RUE;4200;MEYERBEER;6000;NICE;6;88;;KV;195;;7;6962;;;;;;;;;1;2;Appartement;82;3;
06/01/2020;Vente;16000000;82;RUE;555;BARBERIS;6300;NICE;6;88;;IY;378;;177;1760;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;16;0;
06/01/2020;Vente;16000000;82;RUE;555;BARBERIS;6300;NICE;6;88;;IY;378;;104;1873;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;18;0;
06/01/2020;Vente;12500000;15;RUE;405;ASSALIT;6000;NICE;6;88;;LB;50;;40;3130;;;;;;;;;1;2;Appartement;33;2;
14/01/2020;Vente;19550000;10;AV;1805;CYRILLE BESSET;6100;NICE;6;88;;LO;467;;240;4823;;;;;;;;;1;2;Appartement;46;2;
21/01/2020;Vente;12000000;18;RUE;4790;DE PARIS;6000;NICE;6;88;;LB;324;;29;2764;;;;;;;;;1;2;Appartement;30;2;
06/01/2020;Vente;65500000;74;AV;325;DES ARENES DE CIMIEZ;6000;NICE;6;88;;LH;40;;16;;19;12812;;;;;;;2;2;Appartement;123;5;
17/01/2020;Vente;4400000;82;RUE;555;BARBERIS;6300;NICE;6;88;;IY;378;;11;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;12;0;
17/01/2020;Vente;4400000;82;RUE;555;BARBERIS;6300;NICE;6;88;;IY;378;;21;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;10;0;
03/01/2020;Vente;85000000;;BD;4350;DU MONT BORON;6300;NICE;6;88;;KI;220;;;;;;;;;;;;0;;;;;63
03/01/2020;Vente;85000000;;BD;4350;DU MONT BORON;6300;NICE;6;88;;KI;221;;;;;;;;;;;;0;;;;;769
06/01/2020;Vente;128000000;8;RUE;1655;DU CONGRES;6000;NICE;6;88;;KT;252;;1;;14;14871;18;;;;;;3;4;Local industriel. commercial ou assimil̩;116;0;
15/01/2020;Vente;14900000;10;RUE;1295;DU CHANOINE RANCE BOURREY;6100;NICE;6;88;;ED;515;;120;;148;4645;;;;;;;2;2;Appartement;48;2;
16/01/2020;Vente;18000000;5;RUE;4310;MIRON;6000;NICE;6;88;;LB;355;;11;7254;;;;;;;;;1;2;Appartement;74;3;
16/01/2020;Vente;12400000;58;BD;4840;PASTEUR;6000;NICE;6;88;;LK;121;;101;4626;63;;;;;;;;2;2;Appartement;47;2;
16/01/2020;Vente;169000000;9;CHE;241;DES OLIVIERS;6950;FALICON;6;60;;AB;87;;;;;;;;;;;;0;1;Maison;191;2;1000
16/01/2020;Vente;169000000;9;CHE;241;DES OLIVIERS;6950;FALICON;6;60;;AB;87;;;;;;;;;;;;0;1;Maison;191;2;778
17/01/2020;Vente;7500000;5;RUE;1578;COL GASSIN;6000;NICE;6;88;;HD;66;;1034;2691;106;;;;;;;;2;2;Appartement;26;1;
10/01/2020;Vente;15852500;23;RUE;405;ASSALIT;6000;NICE;6;88;;LB;350;;15;3404;;;;;;;;;1;2;Appartement;33;1;
07/01/2020;Vente;36751000;18;AV;3000;GRAVIER;6100;NICE;6;88;;EI;39;;408;;80;8734;;;;;;;2;2;Appartement;120;3;
10/01/2020;Vente;14980000;186;RTE;6480;DE TURIN;6300;NICE;6;88;;HY;34;;133;;234;7342;;;;;;;2;2;Appartement;79;4;
08/01/2020;Vente;17500000;21;COR;214;ANDRE DE JOLY;6300;NICE;6;88;;IY;340;;272;;285;5624;;;;;;;2;2;Appartement;62;3;
06/01/2020;Vente;28940000;1;RUE;3312;JACQUES OFFENBACH;6000;NICE;6;88;;LA;261;;1;;17;7159;;;;;;;2;2;Appartement;70;3;
23/01/2020;Vente;16900000;14;AV;2240;ELISABETH;6100;NICE;6;88;;HI;139;;20;5102;40;;;;;;;;2;2;Appartement;61;3;
23/01/2020;Vente;15700000;44;BD;3475;JOSEPH GARNIER;6000;NICE;6;88;;LV;148;;22;3420;;;;;;;;;1;2;Appartement;38;2;
10/01/2020;Vente;11300000;7;AV;4525;NOTRE DAME;6000;NICE;6;88;;LB;146;;14;1164;;;;;;;;;1;2;Appartement;30;2;
13/01/2020;Vente;32500000;9014;ILOT;A100;GUIGONIS ST FRANCOIS;6300;NICE;6;88;;KP;115;;298;6470;313;;;;;;;;2;2;Appartement;67;4;
17/01/2020;Vente;18800000;13;AV;6520;VALDILETTA;6100;NICE;6;88;;EB;107;;14;;32;4527;;;;;;;2;2;Appartement;52;2;
09/01/2020;Vente;23800000;9019;CHE;5140;DES PINS;6000;NICE;6;88;;LP;72;;2;6406;;;;;;;;;1;2;Appartement;64;3;
08/01/2020;Vente;51000000;37;RUE;4020;DU MARECHAL JOFFRE;6000;NICE;6;88;;KV;116;;21;8784;;;;;;;;;1;2;Appartement;91;3;
09/01/2020;Vente;43000000;;;B026;FALICONET BAS;6950;FALICON;6;60;;AE;181;;;;;;;;;;;;0;;;;;1412
09/01/2020;Vente;43000000;;;B026;FALICONET BAS;6950;FALICON;6;60;;AE;182;;;;;;;;;;;;0;;;;;1078
16/01/2020;Vente;17170000;43;BD;6285;STALINGRAD;6300;NICE;6;88;;KL;40;;65;3626;;;;;;;;;1;2;Appartement;36;2;
10/01/2020;Vente;33200000;39;RUE;2060;DOCTEUR PIERRE RICHELMI;6300;NICE;6;88;;IY;353;;182;5051;38;;40;;;;;;3;2;Appartement;47;2;
10/01/2020;Vente;33200000;39;RUE;2060;DOCTEUR PIERRE RICHELMI;6300;NICE;6;88;;IY;353;;121;;;;;;;;;;1;3;D̩pendance;0;0;
22/01/2020;Vente;2800000;75;RUE;555;BARBERIS;6300;NICE;6;88;;IY;201;;38;;;;;;;;;;1;3;D̩pendance;0;0;
08/01/2020;Vente;18600000;26;BD;465;AUGUSTE RAYNAUD;6100;NICE;6;88;;LO;315;;28;;8;;;;;;;;2;2;Appartement;72;3;
07/01/2020;Vente;32700000;13;RUE;1655;DU CONGRES;6000;NICE;6;88;;KV;114;;16;;37;4352;;;;;;;2;2;Appartement;52;2;
08/01/2020;Vente;34075000;29;AV;6715;VILLERMONT;6000;NICE;6;88;;LS;95;;4;6900;;;;;;;;;1;2;Appartement;36;3;
23/01/2020;Vente;13650000;105;AV;4025;MARECHAL LYAUTEY;6000;NICE;6;88;;LK;246;;24;;252;;;;;;;;2;2;Appartement;75;3;
09/01/2020;Vente;17900000;140;QUAI;28;DE LA BANQUIERE;6730;SAINT-ANDRE DE LA ROCHE;6;114;;AL;26;;107;;;;;;;;;;1;3;D̩pendance;0;0;
09/01/2020;Vente;17900000;140;QUAI;28;DE LA BANQUIERE;6730;SAINT-ANDRE DE LA ROCHE;6;114;;AL;26;;44;4550;;;;;;;;;1;2;Appartement;41;2;
02/01/2020;Vente;11700000;25;RUE;610;BARLA;6300;NICE;6;88;;IX;226;;16;3232;67;;;;;;;;2;2;Appartement;31;1;
02/01/2020;Vente;21000000;12;RUE;4020;DU MARECHAL JOFFRE;6000;NICE;6;88;;KT;14;;3;;32;4950;;;;;;;2;2;Appartement;32;1;
21/01/2020;Vente;7800000;3;RUE;5361;RAOUL LESUEUR;6000;NICE;6;88;;HD;71;;189;3174;85;;;;;;;;2;2;Appartement;32;1;
21/01/2020;Vente;7800000;3;RUE;5361;RAOUL LESUEUR;6000;NICE;6;88;;HD;71;;155;;;;;;;;;;1;3;D̩pendance;0;0;
13/01/2020;Vente;12500000;73;BD;4840;PASTEUR;6000;NICE;6;88;;LK;237;;3;5362;;;;;;;;;1;2;Appartement;52;3;
17/01/2020;Vente;15750000;9001;RUE;710;BEAUTRUCH;6300;NICE;6;88;;IW;38;;49;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;12;0;
17/01/2020;Vente;15750000;55;BD;5095;PIERRE SOLA;6300;NICE;6;88;;IW;38;;59;4800;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;50;0;
16/01/2020;Vente;3500000;7;CHE;1760;DES CRETES;6300;NICE;6;88;;KI;57;;258;1020;;;;;;;;;1;3;D̩pendance;0;0;
23/01/2020;Vente;5000000;51;AV;3372;JEAN MEDECIN;6000;NICE;6;88;;LA;124;;81;1342;;;;;;;;;1;2;Appartement;17;1;
24/01/2020;Vente;41775000;153;BD;4350;DU MONT BORON;6300;NICE;6;88;;IV;200;;29;;;;;;;;;;1;2;Appartement;73;3;
24/01/2020;Vente;9700000;165;AV;4025;MARECHAL LYAUTEY;6000;NICE;6;88;;HD;81;;32;3453;82;;;;;;;;2;2;Appartement;51;2;
22/01/2020;Vente;36200000;11;QUAI;1955;DES DEUX EMMANUELS;6300;NICE;6;88;;KM;10;;203;4445;;;;;;;;;1;2;Appartement;36;2;
20/01/2020;Vente;11700000;4;RUE;2820;DE LA GENDARMERIE;6000;NICE;6;88;;LI;241;;20;;8;3875;;;;;;;2;2;Appartement;45;2;
27/01/2020;Vente;60000000;21;BD;1945;DES DEUX CORNICHES;6300;NICE;6;88;;IS;11;;2;;4;7678;;;;;;;2;2;Appartement;52;2;
27/01/2020;Vente;60000000;21;BD;1945;DES DEUX CORNICHES;6300;NICE;6;88;;IS;11;;1;;3;7583;;;;;;;2;2;Appartement;48;3;
08/01/2020;Vente;21000000;75;AV;5383;RAYMOND COMBOUL;6000;NICE;6;88;;LS;44;;7;5405;;;;;;;;;1;2;Appartement;59;2;
16/01/2020;Vente;17200000;23;AV;6715;VILLERMONT;6000;NICE;6;88;;LS;493;;13;2374;;;;;;;;;1;2;Appartement;23;2;
16/01/2020;Vente;17200000;23;AV;6715;VILLERMONT;6000;NICE;6;88;;LS;493;;1;1847;;;;;;;;;1;2;Appartement;21;1;
24/01/2020;Vente;18900000;25;RUE;6635;VERNIER;6000;NICE;6;88;;LT;343;;10;;20;6771;;;;;;;2;2;Appartement;70;3;
08/01/2020;Vente;13400000;190;RTE;6480;DE TURIN;6300;NICE;6;88;;HY;34;;402;3403;;;;;;;;;1;2;Appartement;33;2;
06/01/2020;Vente;1000000;46;BD;4840;PASTEUR;6000;NICE;6;88;;HC;32;;1;;;;;;;;;;1;3;D̩pendance;0;0;
14/01/2020;Vente;18000000;4;BD;2755;GAMBETTA;6000;NICE;6;88;;KV;332;;952;;963;4376;974;;;;;;3;4;Local industriel. commercial ou assimil̩;50;0;
06/01/2020;Vente;1500000;42;VOIE;6770;ROMAINE;6000;NICE;6;88;;HC;92;;13;;;;;;;;;;1;3;D̩pendance;0;0;
03/01/2020;Vente;14500000;7;RLE;11;DE L ABBAYE;6300;NICE;6;88;;KR;187;;15;4281;;;;;;;;;1;2;Appartement;41;2;
07/01/2020;Vente;31500000;5;RUE;3256;HOUAT;6300;NICE;6;88;;IV;419;;28;;;;;;;;;;1;3;D̩pendance;0;0;
07/01/2020;Vente;31500000;5;RUE;3256;HOUAT;6300;NICE;6;88;;IV;419;;69;6540;;;;;;;;;1;2;Appartement;65;3;
15/01/2020;Vente;23500000;74;AV;325;DES ARENES DE CIMIEZ;6000;NICE;6;88;;LH;40;;12;;13;;17;;18;;;;4;2;Appartement;78;3;
16/01/2020;Vente;15000000;7;RUE;3415;DU JESUS;6300;NICE;6;88;;KR;123;;2;1200;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;13;0;
16/01/2020;Vente;15000000;35;RUE;2095;DROITE;6300;NICE;6;88;;KR;126;;26;6700;3;;;;;;;;2;4;Local industriel. commercial ou assimil̩;197;0;
08/01/2020;Vente;22600000;8;AV;2585;FRAGONARD;6100;NICE;6;88;;LO;127;;135;5282;38;;;;;;;;2;2;Appartement;52;3;
16/01/2020;Vente;26000000;35;RUE;2095;DROITE;6300;NICE;6;88;;KR;126;;27;;;;;;;;;;1;4;Local industriel. commercial ou assimil̩;197;0;
03/01/2020;Vente;34000000;87;AV;2870;GEORGE  5;6000;NICE;6;88;;LP;81;;15;;27;6824;;;;;;;2;2;Appartement;75;3;
13/01/2020;Vente;45000000;29;RUE;2595;DE FRANCE;6000;NICE;6;88;;KV;151;;593;;;;;;;;;;1;3;D̩pendance;0;0;
13/01/2020;Vente;45000000;29;RUE;2595;DE FRANCE;6000;NICE;6;88;;KV;151;;428;;653;;;;;;;;2;2;Appartement;61;3;
08/01/2020;Vente;13000000;115;RUE;5570;DE ROQUEBILLIERE;6300;NICE;6;88;;IX;354;;106;;171;3218;;;;;;;2;2;Appartement;32;1;
07/01/2020;Vente;11500000;10;RUE;6620;VERDI;6000;NICE;6;88;;KY;123;;29;1783;;;;;;;;;1;2;Appartement;10;1;
09/01/2020;Vente;12130000;52;RUE;4035;MAL VAUBAN;6300;NICE;6;88;;IR;740;;3;1371;;;;;;;;;1;2;Appartement;13;1;
09/01/2020;Vente;12130000;52;RUE;4035;MAL VAUBAN;6300;NICE;6;88;;IR;740;;4;1369;;;;;;;;;1;2;Appartement;15;1;
10/01/2020;Vente;46500000;36;AV;2160;EDITH CAVELL;6000;NICE;6;88;;LM;64;;108;;;;;;;;;;1;3;D̩pendance;0;0;
10/01/2020;Vente;46500000;36;AV;2160;EDITH CAVELL;6000;NICE;6;88;;LM;64;;57;;75;9435;;;;;;;2;2;Appartement;98;3;
10/01/2020;Vente;44000000;34;AV;5383;RAYMOND COMBOUL;6000;NICE;6;88;;LP;125;;23;9455;85;;;;;;;;2;2;Appartement;95;4;
10/01/2020;Vente;11900000;17;BD;6655;VICTOR HUGO;6000;NICE;6;88;;KT;384;;40;1868;;;;;;;;;1;2;Appartement;20;1;
10/01/2020;Vente;50500000;23;RUE;5495;DE RIVOLI;6000;NICE;6;88;;KV;48;;19;;8;;;;;;;;2;2;Appartement;102;4;
27/01/2020;Vente;30500000;15;COR;214;ANDRE DE JOLY;6300;NICE;6;88;;IY;120;;20;;28;7667;;;;;;;2;2;Appartement;88;4;
07/01/2020;Vente;11700000;32;RUE;187;ANATOLE DE MONZIE;6300;NICE;6;88;;HN;139;;188;;;;;;;;;;1;3;D̩pendance;0;0;
07/01/2020;Vente;11700000;16;RUE;1646;DU COMTE VERT AMEDEE VI;6300;NICE;6;88;;HN;139;;328;7233;39;;;;;;;;2;2;Appartement;68;3;
24/01/2020;Vente;32115000;1;BD;3588;LECH WALESA;6300;NICE;6;88;;IZ;2;;134;7600;190;;;;;;;;2;2;Appartement;78;4;
24/01/2020;Vente;32115000;1;BD;3588;LECH WALESA;6300;NICE;6;88;;IZ;2;;319;;;;;;;;;;1;3;D̩pendance;0;0;
03/01/2020;Vente;31780000;4;AV;6575;VALROSE;6100;NICE;6;88;;LP;2;;24;6875;6;;;;;;;;2;2;Appartement;68;3;
03/01/2020;Vente;18000000;27;RUE;3615;DE LEPANTE;6000;NICE;6;88;;LB;66;;6;7509;;;;;;;;;1;2;Appartement;74;4;
03/01/2020;Vente;19900000;30;RUE;6635;VERNIER;6000;NICE;6;88;;LT;170;;10;;28;6661;;;;;;;2;2;Appartement;65;4;
16/01/2020;Vente;20600000;31;RUE;5570;DE ROQUEBILLIERE;6300;NICE;6;88;;IR;149;;265;6235;;;;;;;;;1;2;Appartement;66;3;
24/01/2020;Vente;34500000;39;AV;2880;G CLEMENCEAU;6000;NICE;6;88;;KY;89;;17;10607;6;;;;;;;;2;2;Appartement;90;4;
14/01/2020;Vente;11300000;2;RUE;2930;DE GILETTE;6300;NICE;6;88;;IP;30;;69;2075;;;;;;;;;1;2;Appartement;21;1;
06/01/2020;Vente;17600000;17;RUE;4595;DES ORANGERS;6300;NICE;6;88;;IR;231;;41;5570;;;;;;;;;1;2;Appartement;55;2;
06/01/2020;Vente;17600000;17;RUE;4595;DES ORANGERS;6300;NICE;6;88;;IR;231;;20;;;;;;;;;;1;3;D̩pendance;0;0;
06/01/2020;Vente;11500000;4;RUE;1646;DU COMTE VERT AMEDEE VI;6300;NICE;6;88;;HN;139;;650;;708;7474;;;;;;;2;2;Appartement;75;4;
06/01/2020;Vente;11500000;4;RUE;1646;DU COMTE VERT AMEDEE VI;6300;NICE;6;88;;HN;139;;540;;;;;;;;;;1;3;D̩pendance;0;0;
24/01/2020;Vente;7500000;85;BD;340;DE L ARIANE;6300;NICE;6;88;;HN;60;;57;;;;;;;;;;1;3;D̩pendance;0;0;
